#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,77,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,78,external,light,1658931150685
,,78,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,77,external,light,1658931205741
,,79,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,78,external,light,1658931224783
,,80,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,78,external,light,1658931255829
,,81,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,77,external,light,1658931286958
,,82,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,77,external,light,1658931312016
,,83,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,77,external,light,1658931337053
,,84,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,76,external,light,1658931368117
,,85,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,75,external,light,1658931410685
,,86,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,73,external,light,1658931435679
,,87,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931466866
,,88,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,86,external,light,1658931491915
,,89,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,86,external,light,1658931516946
,,90,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,85,external,light,1658931548001
,,91,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,85,external,light,1658931579047
,,92,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931598094
,,93,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931813499
,,94,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931880543
,,95,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,88,external,light,1658931911597
,,96,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,88,external,light,1658931942682
,,97,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931967750
,,98,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,87,external,light,1658931992776
,,99,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,79,external,light,1658932017827
,,100,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,80,external,light,1658932042866
,,101,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,81,external,light,1658932067922
,,102,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,81,external,light,1658932092973
,,103,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932118016
,,104,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932143073
,,105,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932168112
,,106,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932193176
,,107,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932224227
,,108,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,80,external,light,1658932255352
,,109,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,85,external,light,1658932344106
,,110,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658932375155
,,111,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,64,external,light,1658932807241
,,112,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,55,external,light,1658932832283
,,113,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,67,external,light,1658932857335
,,114,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,94,external,light,1658932888448
,,115,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,92,external,light,1658932919446
,,116,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,95,external,light,1658933011815
,,117,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,89,external,light,1658933175036
