#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,61,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930670797
,,62,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930695854
,,63,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930720900
,,64,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,114,internal,light,1658930751958
,,65,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930776982
,,66,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,114,internal,light,1658930814037
,,67,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,113,internal,light,1658930839109
,,68,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930864163
,,69,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,113,internal,light,1658930895236
,,70,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,114,internal,light,1658930920287
,,71,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,114,internal,light,1658930945343
,,72,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,113,internal,light,1658930970393
,,73,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,116,internal,light,1658930995433
,,74,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,112,internal,light,1658931020485
,,75,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,116,internal,light,1658931045534
,,76,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658931070589
,,77,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658931095632
,,78,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931144697
,,79,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,13,internal,light,1658931193741
,,80,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931218791
,,81,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,12,internal,light,1658931249918
,,82,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931280968
,,83,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931306020
,,84,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,13,internal,light,1658931331064
,,85,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,13,internal,light,1658931362108
,,86,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931398642
,,87,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,14,internal,light,1658931429666
,,88,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,34,internal,light,1658931460876
,,89,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,33,internal,light,1658931485910
,,90,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,33,internal,light,1658931510951
,,91,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,30,internal,light,1658931542053
,,92,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,30,internal,light,1658931567045
,,93,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658931592087
,,94,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658931807494
,,95,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658931874558
,,96,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658931905598
,,97,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658931936804
,,98,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658931961740
,,99,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,30,internal,light,1658931986765
,,100,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658932011819
,,101,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932036875
,,102,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658932061918
,,103,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932086963
,,104,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658932112023
,,105,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,27,internal,light,1658932137073
,,106,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658932162118
,,107,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932187171
,,108,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932218312
,,109,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,28,internal,light,1658932249364
,,110,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,35,internal,light,1658932338093
,,111,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932369182
,,112,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,140,internal,light,1658932801334
,,113,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,140,internal,light,1658932826280
,,114,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,139,internal,light,1658932851329
,,115,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,29,internal,light,1658932876384
,,116,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,31,internal,light,1658932907423
,,117,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,31,internal,light,1658932938465
,,118,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,34,internal,light,1658933005838
,,119,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,140,internal,light,1658933217111
,,120,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,136,internal,light,1658933285514
,,121,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,77,internal,light,1658933363171
,,122,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,87,internal,light,1658933430057
,,123,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,90,internal,light,1658933461113
,,124,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,55,internal,light,1658933492208
,,125,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,60,internal,light,1658933523390
,,126,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,73,internal,light,1658933554435
,,127,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,52,internal,light,1658933585540
,,128,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,54,internal,light,1658933616558
,,129,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,46,internal,light,1658933646052
,,130,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,72,internal,light,1658933714659
,,131,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,85,internal,light,1658933745793
,,132,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,67,internal,light,1658933770748
,,133,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,140,internal,light,1658933802571
,,134,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,49,internal,light,1658933827605
,,135,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,104,internal,light,1658933908435
,,136,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,39,internal,light,1658933981130
,,137,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,47,internal,light,1658934006188
,,138,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,49,internal,light,1658934031233
,,139,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,50,internal,light,1658934056301
,,140,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,51,internal,light,1658934081333
,,141,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,80,internal,light,1658934106396
,,142,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,51,internal,light,1658934217518
,,143,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,125,internal,light,1658934242581
,,144,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,96,internal,light,1658934299691
,,145,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934336737
,,146,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,136,internal,light,1658934361797
,,147,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934386836
,,148,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,136,internal,light,1658934435891
,,149,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,136,internal,light,1658934460925
,,150,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934515988
,,151,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934541047
,,152,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,136,internal,light,1658934566111
,,153,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934591172
,,154,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934616237
,,155,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934642965
,,156,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,135,internal,light,1658934666334
,,157,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,136,internal,light,1658934691378
,,158,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,137,internal,light,1658934716426
,,159,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,139,internal,light,1658934815233
,,160,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,138,internal,light,1658934846288
,,161,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,138,internal,light,1658934871345
,,162,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,132,internal,light,1658934963000
,,163,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,37,internal,light,1658935000062
,,164,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,35,internal,light,1658935025122
,,165,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,45,internal,light,1658935050166
,,166,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,108,internal,light,1658935081216
,,167,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,114,internal,light,1658935112293
,,168,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,129,internal,light,1658935161348
,,169,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,130,internal,light,1658935261873
,,170,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,133,internal,light,1658935300539
,,171,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,134,internal,light,1658935325591
,,172,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,117,internal,light,1658935356644
,,173,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,120,internal,light,1658935387689
,,174,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,4,internal,light,1658935412752
,,175,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,4,internal,light,1658935437795
,,176,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,8,internal,light,1658935633524
,,177,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,11,internal,light,1658935664608
,,178,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,11,internal,light,1658935800218
,,179,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,12,internal,light,1658935858083
,,180,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,125,internal,light,1658936269165
,,181,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,109,internal,light,1658936323093
,,182,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,124,internal,light,1658936380977
,,183,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,116,internal,light,1658936586944
,,184,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,114,internal,light,1658936627941
,,185,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,115,internal,light,1658936668320
,,186,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,84,internal,light,1658936730361
,,187,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,99,internal,light,1658937318744
,,188,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,87,internal,light,1658937365618
,,189,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T16:00:00Z,89,internal,light,1658937406676
,,190,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T17:00:00Z,77,internal,light,1658937749165
,,191,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T17:00:00Z,85,internal,light,1658937834179
,,192,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T17:00:00Z,84,internal,light,1658937906551
,,193,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T17:00:00Z,86,internal,light,1658937943618
,,194,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T17:00:00Z,89,internal,light,1658938114268
