#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,71,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929503979
,,72,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,125,internal,light,1658929523049
,,73,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,63,external,light,1658929529042
,,74,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929548084
,,75,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,64,external,light,1658929554091
,,76,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929573130
,,77,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,64,external,light,1658929579123
,,78,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929598171
,,79,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,70,external,light,1658929604179
,,80,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929623237
,,81,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,65,external,light,1658929629225
,,82,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929648319
,,83,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,134,internal,light,1658929978384
,,84,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,74,external,light,1658929990434
,,85,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658930009425
,,86,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,70,external,light,1658930021621
,,87,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,130,internal,light,1658930034470
,,88,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,66,external,light,1658930040470
,,89,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658930215874
,,90,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,58,external,light,1658930221872
,,91,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658930246920
,,92,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,61,external,light,1658930252943
,,93,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,101,internal,light,1658930272011
,,94,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,61,external,light,1658930278010
,,95,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,117,internal,light,1658930297050
,,96,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,63,external,light,1658930303053
,,97,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,119,internal,light,1658930328193
,,98,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,64,external,light,1658930334100
,,99,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658930353159
,,100,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,64,external,light,1658930359153
,,101,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658930378192
,,102,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,64,external,light,1658930384205
,,103,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930410026
,,104,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,118,internal,light,1658930410026
,,105,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,118,internal,light,1658930432367
,,106,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930434291
,,107,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,117,internal,light,1658930453330
,,108,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930459346
,,109,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,117,internal,light,1658930478379
,,110,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930484375
,,111,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,116,internal,light,1658930503436
,,112,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930509438
,,113,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,116,internal,light,1658930528486
,,114,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,61,external,light,1658930534492
,,115,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,117,internal,light,1658930553541
,,116,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,61,external,light,1658930565569
,,117,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,105,internal,light,1658930586886
,,118,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930591383
,,119,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930645822
,,120,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,63,external,light,1658930651744
,,121,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930670797
,,122,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,64,external,light,1658930676801
,,123,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930695854
,,124,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,64,external,light,1658930701862
,,125,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930720900
,,126,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,65,external,light,1658930726896
,,127,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,114,internal,light,1658930751958
,,128,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,63,external,light,1658930763939
,,129,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930776982
,,130,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,63,external,light,1658930789074
